Meal Choice,Meal Cost,Tourist_Country,Cities,is_canceled,lead_time,arrival_date_year,arrival_date_month,Quarters ,stays_in_weekend_nights,stays_in_week_nights,Total_Stay_Days,Adults,Children,Market_segment,Distribution_channel,Room Class,Room Cost ,Total Room Cost ,Deposit_type,days_in_waiting_list,customer_type,Reservation_status,Overall Cost,
Half Meal,150, Iran  , Chandigarh,1,21,2023,November,1,1,2,3,2,0,Online TA,TA/TO,C,800,2400,Refundable,3,Transient,Check-Out,2550,
Half Meal,150, Norway  , Delhi,1,57,2020,May,1,1,2,3,2,0,Online TA,TA/TO,C,800,2400,Refundable,3,Transient,Canceled,2550,
Half Meal,150, Portugal  , Hyderabad,1,23,2021,June,1,1,2,3,2,0,Online TA,TA/TO,D,700,2100,Non Refundable,4,Transient,No-Show,2250,
No Meal,0, Italy  , Goa,1,19,2020,September,1,1,2,3,2,0,Online TA,TA/TO,D,700,2100,No Deposit ,1,Transient,No-Show,2100,
Half Meal,150, Spain  , Mumbai,1,138,2024,November,0,1,2,3,2,0,Online TA,TA/TO,B,900,2700,No Deposit ,4,Transient,Check-Out,2850,
Self Catering,200, Iran  , Bhopal,1,92,2023,July,0,2,2,4,2,0,Direct,Direct,C,800,3200,Advance,2,Transient,No-Show,3400,
Half Meal,150, Norway  , Chennai,1,41,2025,January,1,2,2,4,2,1,Direct,Direct,B,900,3600,Advance,1,Transient,Canceled,3750,
Half Meal,150, China  , Chennai,1,51,2023,March,0,2,6,8,2,0,Online TA,TA/TO,C,800,6400,Advance,3,Transient,Check-Out,6550,
Bed & Breakfast,100, Italy  , Pune,1,116,2022,September,1,3,7,10,2,0,Online TA,TA/TO,C,800,8000,Non Refundable,2,Transient,Canceled,8100,
Full Meal,300, Spain  , Chandigarh,1,343,2023,December,0,3,7,10,2,0,Online TA,TA/TO,A,1000,10000,Advance,1,Transient,Canceled,10300,
Full Meal,300, Portugal  , Ahmedabad,1,291,2022,February,0,2,6,8,2,0,Online TA,TA/TO,C,800,6400,Non Refundable,2,Transient,Check-Out,6700,
Self Catering,200, China  , Delhi,1,10,2025,July,0,0,1,1,2,0,Online TA,TA/TO,E,600,600,Non Refundable,1,Transient,Canceled,800,
Self Catering,200,USA  , Lucknow,1,114,2020,April,0,1,1,2,3,1,Online TA,TA/TO,E,600,1200,No Deposit ,3,Transient,No-Show,1400,
Half Meal,150, China  , Kolkata,1,69,2023,February,0,1,1,2,2,0,Online TA,TA/TO,B,900,1800,Non Refundable,4,Transient-Party,No-Show,1950,
Bed & Breakfast,100,Europe, Ahmedabad,1,53,2025,July,0,1,1,2,2,0,Direct,Direct,C,800,1600,Refundable,3,Transient,Check-Out,1700,
Bed & Breakfast,100, Iran  , Lucknow,1,69,2021,November,1,1,1,2,2,0,Online TA,TA/TO,C,800,1600,Non Refundable,1,Transient-Party,Check-Out,1700,
Half Meal,150, Nepal  , Bangalore,1,113,2023,April,1,1,1,2,2,0,Online TA,TA/TO,C,800,1600,Non Refundable,3,Transient,No-Show,1750,
Full Meal,300, China  , Kochi,1,140,2025,November,1,1,1,2,2,1,Online TA,TA/TO,D,700,1400,Advance,1,Transient,Check-Out,1700,
Self Catering,200, Nepal  , Kolkata,1,91,2021,December,1,1,1,2,2,0,Online TA,TA/TO,E,600,1200,Refundable,2,Transient,Canceled,1400,
Bed & Breakfast,100,USA  , Chennai,1,113,2025,September,0,1,1,2,2,0,Online TA,TA/TO,E,600,1200,Non Refundable,1,Transient,Check-Out,1300,
Full Meal,300, China  , Jaipur,1,8,2022,May,1,1,1,2,1,0,Online TA,TA/TO,C,800,1600,Non Refundable,3,Transient,No-Show,1900,
No Meal,0, Portugal  , Mumbai,1,140,2021,May,1,1,1,2,2,0,Online TA,TA/TO,C,800,1600,No Deposit ,1,Transient,Canceled,1600,
Self Catering,200,Europe, Chandigarh,1,99,2020,November,0,2,1,3,2,2,Online TA,TA/TO,B,900,2700,No Deposit ,3,Transient,Check-Out,2900,
Bed & Breakfast,100, Nepal  , Chennai,1,24,2021,November,1,2,1,3,2,2,Online TA,TA/TO,A,1000,3000,Refundable,2,Transient,Canceled,3100,
No Meal,0,Europe, Pune,1,121,2020,September,0,2,1,3,2,0,Online TA,TA/TO,A,1000,3000,No Deposit ,2,Transient,Canceled,3000,
Bed & Breakfast,100, Norway  , Indore,1,131,2024,December,1,2,2,4,3,0,Direct,Direct,E,600,2400,Non Refundable,2,Transient,Canceled,2500,
Self Catering,200, Nepal  , Jaipur,1,345,2025,September,1,2,2,4,2,0,Online TA,TA/TO,D,700,2800,Refundable,1,Transient,Check-Out,3000,
Self Catering,200,Europe, Bangalore,1,107,2020,September,1,2,2,4,3,0,Online TA,TA/TO,D,700,2800,Advance,2,Transient,Check-Out,3000,
No Meal,0, China  , Kochi,1,360,2020,May,0,2,2,4,2,0,Online TA,TA/TO,D,700,2800,Refundable,3,Transient,Check-Out,2800,
Full Meal,300, Norway  , Ahmedabad,1,348,2023,July,0,2,3,5,2,0,Online TA,TA/TO,E,600,3000,Refundable,1,Transient,Check-Out,3300,
Half Meal,150, Spain  , Indore,1,166,2021,January,1,2,3,5,2,0,Online TA,TA/TO,B,900,4500,Non Refundable,3,Transient,Check-Out,4650,
Self Catering,200, China  , Goa,1,19,2023,March,1,2,3,5,2,0,Online TA,TA/TO,D,700,3500,Advance,1,Transient,No-Show,3700,
Bed & Breakfast,100, Portugal  , Kolkata,1,61,2025,January,1,2,3,5,2,0,Online TA,TA/TO,A,1000,5000,Non Refundable,2,Transient,Canceled,5100,
Full Meal,300, Spain  , Ahmedabad,1,61,2023,May,0,2,3,5,2,0,Online TA,TA/TO,E,600,3000,No Deposit ,4,Transient,Check-Out,3300,
Self Catering,200, Iran  , Goa,1,166,2021,November,0,2,3,5,2,0,Online TA,TA/TO,F,500,2500,Refundable,3,Transient,No-Show,2700,
Bed & Breakfast,100, Norway  , Jaipur,1,10,2022,June,1,2,4,6,2,0,Online TA,TA/TO,F,500,3000,No Deposit ,3,Transient,No-Show,3100,
Half Meal,150, Iran  , Pune,1,57,2021,May,0,2,4,6,2,2,Online TA,TA/TO,E,600,3600,Advance,4,Transient,Canceled,3750,
Bed & Breakfast,100, Nepal  , Bhopal,1,85,2022,October,1,2,3,5,2,2,Online TA,TA/TO,F,500,2500,No Deposit ,4,Transient,Check-Out,2600,
Bed & Breakfast,100, Italy  , Bhopal,1,162,2024,September,0,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Non Refundable,3,Transient,No-Show,4300,
Bed & Breakfast,100, Norway  , Pune,1,110,2025,November,1,2,5,7,2,0,Online TA,TA/TO,D,700,4900,Non Refundable,1,Transient,No-Show,5000,
No Meal,0, Nepal  , Mumbai,1,82,2023,May,0,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Refundable,2,Transient,Canceled,6300,
Bed & Breakfast,100, Portugal  , Bangalore,1,162,2022,July,1,2,5,7,2,2,Direct,Direct,D,700,4900,Advance,3,Transient,Check-Out,5000,
Self Catering,200, Spain  , Ahmedabad,1,82,2024,July,0,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Advance,1,Transient,Check-Out,7200,
Self Catering,200,USA  , Chandigarh,1,169,2023,May,1,2,6,8,2,0,Online TA,TA/TO,B,900,7200,Advance,1,Transient,Check-Out,7400,
Full Meal,300, Norway  , Indore,1,141,2025,December,0,2,6,8,2,0,Online TA,TA/TO,B,900,7200,Non Refundable,3,Transient,No-Show,7500,
Bed & Breakfast,100, Norway  , Lucknow,1,169,2023,January,1,2,6,8,2,0,Offline TA/TO,TA/TO,D,700,5600,Refundable,3,Transient,No-Show,5700,
No Meal,0, Norway  , Pune,1,105,2020,January,1,4,6,10,2,2,Online TA,TA/TO,B,900,9000,No Deposit ,4,Transient,Canceled,9000,
Full Meal,300, Nepal  , Bangalore,1,133,2023,January,0,4,6,10,2,1,Direct,Direct,A,1000,10000,Non Refundable,4,Transient,Check-Out,10300,
Half Meal,150,Europe, Indore,1,12,2025,November,0,1,0,1,2,0,Corporate,Corporate,B,900,900,Advance,2,Transient,Check-Out,1050,
Self Catering,200, Spain  , Delhi,1,60,2020,June,0,1,0,1,2,0,Online TA,TA/TO,C,800,800,Refundable,1,Transient,Canceled,1000,
Half Meal,150,Europe, Bangalore,1,3,2022,February,0,2,0,2,2,0,Online TA,TA/TO,A,1000,2000,Advance,3,Transient,No-Show,2150,
Bed & Breakfast,100, Italy  , Bhopal,1,49,2025,August,1,2,2,4,2,0,Online TA,TA/TO,E,600,2400,Refundable,1,Transient,No-Show,2500,
No Meal,0, Italy  , Chandigarh,1,123,2023,June,0,2,3,5,2,0,Online TA,TA/TO,A,1000,5000,No Deposit ,3,Transient,Canceled,5000,
Full Meal,300, Nepal  , Bhopal,1,63,2025,March,1,2,3,5,1,1,Online TA,TA/TO,B,900,4500,No Deposit ,2,Transient,No-Show,4800,
Bed & Breakfast,100, China  , Bangalore,1,87,2021,October,0,2,3,5,2,2,Online TA,TA/TO,A,1000,5000,No Deposit ,3,Transient,Check-Out,5100,
Half Meal,150, Nepal  , Kochi,1,54,2020,May,1,2,5,7,2,0,Online TA,TA/TO,F,500,3500,Refundable,2,Transient,Check-Out,3650,
Half Meal,150, Norway  , Mumbai,1,95,2025,May,1,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,Non Refundable,2,Transient,Canceled,5750,
No Meal,0,USA  , Kochi,1,95,2021,October,1,2,5,7,2,1,Offline TA/TO,TA/TO,B,900,6300,Advance,2,Transient,Canceled,6300,
Bed & Breakfast,100, Portugal  , Bangalore,1,212,2023,August,1,4,10,14,2,0,Online TA,TA/TO,C,800,11200,Refundable,4,Transient,Canceled,11300,
Self Catering,200, Spain  , Mumbai,1,85,2021,November,1,4,10,14,2,0,Direct,Direct,E,600,8400,No Deposit ,3,Transient-Party,Check-Out,8600,
Full Meal,300, Spain  , Pune,1,212,2020,August,0,4,10,14,2,0,Online TA,TA/TO,D,700,9800,Non Refundable,4,Transient,Check-Out,10100,
Bed & Breakfast,100, Spain  , Chennai,1,212,2025,May,1,4,10,14,2,0,Online TA,TA/TO,D,700,9800,Advance,1,Transient,Check-Out,9900,
Bed & Breakfast,100, Norway  , Chennai,1,212,2023,August,0,4,10,14,1,0,Online TA,TA/TO,E,600,8400,No Deposit ,4,Transient,Check-Out,8500,
No Meal,0,USA  , Bangalore,1,212,2025,February,0,4,10,14,2,0,Online TA,TA/TO,E,600,8400,No Deposit ,2,Transient,No-Show,8400,
No Meal,0, Spain  , Hyderabad,0,291,2022,January,0,1,2,3,2,0,Online TA,TA/TO,E,600,1800,No Deposit ,2,Transient,No-Show,1800,
Half Meal,150,USA  , Mumbai,0,291,2024,August,0,1,2,3,2,0,Online TA,TA/TO,A,1000,3000,Non Refundable,1,Transient,No-Show,3150,
No Meal,0, Italy  , Goa,0,291,2020,October,0,1,2,3,2,0,Online TA,TA/TO,F,500,1500,Advance,2,Transient,No-Show,1500,
Full Meal,300,Europe, Kochi,0,291,2023,July,1,1,2,3,3,1,Online TA,TA/TO,B,900,2700,No Deposit ,4,Transient,Canceled,3000,
Full Meal,300, China  , Jaipur,0,291,2021,January,1,1,2,3,2,0,Online TA,TA/TO,D,700,2100,Refundable,4,Transient,Canceled,2400,
Full Meal,300, Portugal  , Mumbai,1,135,2021,June,0,1,3,4,2,0,Online TA,TA/TO,B,900,3600,Non Refundable,4,Transient,Check-Out,3900,
Full Meal,300, China  , Kolkata,1,154,2025,March,0,1,3,4,2,2,Online TA,TA/TO,B,900,3600,Advance,3,Transient,Check-Out,3900,
Self Catering,200, Spain  , Indore,0,348,2024,August,1,1,3,4,2,1,Online TA,TA/TO,C,800,3200,Non Refundable,2,Transient,Check-Out,3400,
No Meal,0, Nepal  , Mumbai,1,83,2020,April,1,1,4,5,2,1,Online TA,TA/TO,C,800,4000,Advance,1,Transient,No-Show,4000,
Self Catering,200, Norway  , Bangalore,1,175,2025,October,0,1,4,5,2,0,Online TA,TA/TO,F,500,2500,Refundable,3,Transient,Canceled,2700,
Half Meal,150, Spain  , Lucknow,1,78,2022,February,0,1,4,5,2,0,Online TA,TA/TO,F,500,2500,Refundable,3,Transient,No-Show,2650,
No Meal,0,Europe, Kochi,1,175,2020,July,0,1,4,5,2,0,Online TA,TA/TO,C,800,4000,Non Refundable,3,Transient,No-Show,4000,
Bed & Breakfast,100, Iran  , Indore,1,78,2020,August,0,1,4,5,2,0,Online TA,TA/TO,D,700,3500,No Deposit ,1,Transient,Check-Out,3600,
Bed & Breakfast,100, Iran  , Mumbai,1,20,2020,March,1,1,4,5,2,0,Online TA,TA/TO,F,500,2500,Advance,4,Transient,Canceled,2600,
Bed & Breakfast,100, Norway  , Bhopal,1,205,2020,April,0,1,4,5,2,0,Direct,Direct,C,800,4000,Advance,4,Transient,Canceled,4100,
Full Meal,300, Norway  , Lucknow,1,78,2023,September,0,1,4,5,2,0,Online TA,TA/TO,C,800,4000,No Deposit ,2,Transient,Canceled,4300,
Full Meal,300, China  , Ahmedabad,1,135,2024,February,1,1,4,5,2,0,Online TA,TA/TO,B,900,4500,Advance,2,Transient,Check-Out,4800,
Bed & Breakfast,100, Norway  , Chennai,1,222,2023,April,0,1,5,6,2,1,Offline TA/TO,TA/TO,B,900,5400,Non Refundable,4,Transient-Party,No-Show,5500,
Self Catering,200, Norway  , Kolkata,1,90,2024,October,1,1,5,6,2,0,Online TA,TA/TO,E,600,3600,No Deposit ,3,Transient,Canceled,3800,
Full Meal,300,Europe, Kolkata,1,54,2025,February,0,1,5,6,2,0,Online TA,TA/TO,D,700,4200,Non Refundable,2,Transient,No-Show,4500,
Full Meal,300, Norway  , Kochi,1,222,2024,November,0,1,5,6,1,1,Offline TA/TO,TA/TO,F,500,3000,Non Refundable,2,Transient-Party,No-Show,3300,
Bed & Breakfast,100, Iran  , Delhi,1,200,2024,February,0,2,5,7,2,1,Offline TA/TO,TA/TO,A,1000,7000,Non Refundable,2,Transient-Party,Check-Out,7100,
Self Catering,200,USA  , Indore,1,240,2020,October,1,2,5,7,2,0,Direct,Direct,D,700,4900,Advance,3,Transient,Canceled,5100,
Half Meal,150,USA  , Chandigarh,1,96,2022,January,0,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Refundable,3,Transient,Canceled,6450,
No Meal,0,Europe, Mumbai,1,149,2024,November,0,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,No Deposit ,1,Transient,Check-Out,7000,
Full Meal,300, China  , Bhopal,1,240,2025,October,1,2,5,7,2,0,Direct,Direct,F,500,3500,No Deposit ,3,Transient,Canceled,3800,
Full Meal,300, Iran  , Kochi,1,166,2021,April,0,2,5,7,2,0,Direct,Direct,E,600,4200,Advance,2,Transient,Check-Out,4500,
Self Catering,200, Nepal  , Chennai,1,201,2021,December,1,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Refundable,1,Transient,Canceled,7200,
No Meal,0, Portugal  , Ahmedabad,1,196,2025,November,1,2,5,7,2,1,Direct,Direct,E,600,4200,No Deposit ,4,Transient,No-Show,4200,
Bed & Breakfast,100,Europe, Hyderabad,1,146,2022,November,0,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Refundable,3,Transient,No-Show,6400,
Bed & Breakfast,100, Norway  , Bhopal,1,158,2021,May,1,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Refundable,3,Transient,Check-Out,6400,
Self Catering,200, Italy  , Jaipur,1,200,2021,April,1,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,Refundable,2,Transient-Party,No-Show,3700,
Bed & Breakfast,100, Iran  , Delhi,1,119,2025,February,1,3,6,9,2,0,Online TA,TA/TO,D,700,6300,Refundable,3,Transient-Party,Check-Out,6400,
Full Meal,300, Nepal  , Chennai,1,119,2020,April,1,3,6,9,2,0,Online TA,TA/TO,E,600,5400,No Deposit ,2,Transient-Party,Canceled,5700,
Bed & Breakfast,100, Italy  , Jaipur,1,0,2020,July,0,0,1,1,2,0,Direct,Direct,B,900,900,Refundable,1,Transient,Check-Out,1000,
Bed & Breakfast,100, China  , Chandigarh,1,12,2025,September,0,0,2,2,2,0,Online TA,TA/TO,E,600,1200,Advance,4,Transient,Canceled,1300,
Full Meal,300,USA  , Mumbai,1,100,2021,June,0,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Advance,1,Transient-Party,No-Show,1700,
No Meal,0, Nepal  , Kolkata,1,10,2020,July,1,0,2,2,2,0,Online TA,TA/TO,C,800,1600,Refundable,3,Transient,Canceled,1600,
Self Catering,200, Spain  , Indore,1,142,2021,February,1,0,3,3,2,0,Online TA,TA/TO,C,800,2400,Non Refundable,4,Transient,No-Show,2600,
Full Meal,300,Europe, Kochi,1,28,2024,November,1,0,3,3,2,0,Online TA,TA/TO,E,600,1800,Non Refundable,1,Transient,Canceled,2100,
Bed & Breakfast,100,USA  , Kolkata,1,75,2023,July,1,0,3,3,2,0,Online TA,TA/TO,E,600,1800,Advance,3,Transient,Canceled,1900,
Half Meal,150, China  , Kolkata,1,292,2025,July,1,0,3,3,3,1,Online TA,TA/TO,B,900,2700,Non Refundable,2,Transient,No-Show,2850,
Half Meal,150, Norway  , Jaipur,1,293,2020,October,1,0,3,3,2,0,Online TA,TA/TO,A,1000,3000,Refundable,4,Transient,No-Show,3150,
Full Meal,300, Italy  , Ahmedabad,1,79,2025,April,1,0,3,3,2,0,Online TA,TA/TO,C,800,2400,No Deposit ,4,Transient,No-Show,2700,
Half Meal,150, Iran  , Indore,1,28,2020,August,1,0,3,3,2,0,Online TA,TA/TO,F,500,1500,Refundable,2,Transient,Check-Out,1650,
Half Meal,150, Norway  , Bhopal,1,75,2023,June,1,0,4,4,3,1,Online TA,TA/TO,B,900,3600,No Deposit ,1,Transient,No-Show,3750,
No Meal,0, Portugal  , Ahmedabad,1,75,2022,May,1,0,4,4,3,1,Online TA,TA/TO,C,800,3200,No Deposit ,4,Transient,No-Show,3200,
No Meal,0,Europe, Bangalore,1,61,2024,February,1,0,4,4,2,0,Online TA,TA/TO,A,1000,4000,No Deposit ,1,Transient,Check-Out,4000,
Self Catering,200,USA  , Indore,1,155,2023,June,1,0,4,4,2,0,Online TA,TA/TO,D,700,2800,Non Refundable,1,Transient,No-Show,3000,
Self Catering,200,Europe, Chandigarh,1,183,2020,August,1,0,4,4,2,0,Offline TA/TO,TA/TO,E,600,2400,No Deposit ,1,Transient,No-Show,2600,
No Meal,0, China  , Goa,1,167,2023,September,1,0,5,5,3,0,Offline TA/TO,TA/TO,B,900,4500,Refundable,2,Transient,No-Show,4500,
Self Catering,200,USA  , Indore,1,168,2023,December,1,1,5,6,2,0,Online TA,TA/TO,C,800,4800,Advance,4,Transient,Canceled,5000,
No Meal,0,USA  , Chennai,1,55,2021,September,0,2,5,7,2,0,Online TA,TA/TO,F,500,3500,Non Refundable,4,Transient,Canceled,3500,
No Meal,0, Spain  , Pune,1,127,2023,November,0,2,7,9,2,1,Online TA,TA/TO,D,700,6300,No Deposit ,2,Transient,Canceled,6300,
Full Meal,300, Portugal  , Jaipur,1,245,2021,July,1,2,8,10,2,0,Online TA,TA/TO,F,500,5000,No Deposit ,2,Transient,No-Show,5300,
Half Meal,150, Spain  , Chennai,1,195,2022,April,1,2,8,10,2,0,Offline TA/TO,TA/TO,B,900,9000,Refundable,4,Transient,No-Show,9150,
Full Meal,300, Norway  , Hyderabad,1,143,2021,August,1,4,10,14,2,2,Online TA,TA/TO,D,700,9800,No Deposit ,2,Transient,No-Show,10100,
Full Meal,300,USA  , Ahmedabad,1,143,2024,July,0,4,10,14,2,0,Online TA,TA/TO,C,800,11200,Refundable,1,Transient,No-Show,11500,
No Meal,0, China  , Goa,1,143,2022,March,1,4,10,14,2,0,Online TA,TA/TO,E,600,8400,No Deposit ,3,Transient,Check-Out,8400,
Self Catering,200, Iran  , Hyderabad,1,106,2021,June,0,0,2,2,2,0,Online TA,TA/TO,A,1000,2000,Refundable,2,Transient,Canceled,2200,
Self Catering,200,USA  , Pune,1,23,2023,August,1,0,3,3,2,0,Online TA,TA/TO,E,600,1800,No Deposit ,1,Transient,Check-Out,2000,
Half Meal,150,USA  , Lucknow,1,137,2025,August,1,0,3,3,3,1,Online TA,TA/TO,F,500,1500,No Deposit ,1,Transient,Check-Out,1650,
Full Meal,300, Nepal  , Bangalore,1,22,2022,April,0,0,3,3,2,0,Online TA,TA/TO,E,600,1800,No Deposit ,1,Transient,Canceled,2100,
Bed & Breakfast,100, China  , Jaipur,1,23,2021,March,1,0,3,3,2,0,Online TA,TA/TO,B,900,2700,Non Refundable,3,Transient,Check-Out,2800,
Self Catering,200, Italy  , Kochi,1,16,2020,February,0,0,4,4,1,0,Online TA,TA/TO,A,1000,4000,Non Refundable,1,Transient,Canceled,4200,
Self Catering,200, Portugal  , Goa,1,56,2023,December,1,0,4,4,2,0,Online TA,TA/TO,A,1000,4000,Advance,1,Transient,No-Show,4200,
No Meal,0, Portugal  , Jaipur,1,78,2022,February,0,1,4,5,2,0,Online TA,TA/TO,D,700,3500,Advance,4,Transient,Canceled,3500,
Self Catering,200, Norway  , Kochi,1,79,2022,August,1,1,4,5,2,0,Direct,Direct,F,500,2500,No Deposit ,2,Transient,No-Show,2700,
No Meal,0,Europe, Chandigarh,1,24,2023,July,0,1,4,5,2,0,Online TA,TA/TO,D,700,3500,Refundable,2,Transient,No-Show,3500,
Self Catering,200, China  , Jaipur,1,187,2025,October,0,1,4,5,2,0,Offline TA/TO,TA/TO,E,600,3000,Advance,3,Transient,Check-Out,3200,
No Meal,0, China  , Hyderabad,1,144,2021,May,1,2,4,6,2,0,Online TA,TA/TO,D,700,4200,Non Refundable,4,Transient,Check-Out,4200,
Full Meal,300, Italy  , Chandigarh,1,112,2024,January,1,2,4,6,2,0,Online TA,TA/TO,A,1000,6000,Non Refundable,3,Transient,No-Show,6300,
Half Meal,150, Italy  , Chandigarh,1,134,2021,April,0,2,4,6,3,0,Online TA,TA/TO,E,600,3600,No Deposit ,1,Transient,Check-Out,3750,
Bed & Breakfast,100,Europe, Bangalore,1,26,2021,April,0,1,4,5,2,0,Online TA,TA/TO,C,800,4000,Advance,1,Transient,No-Show,4100,
Bed & Breakfast,100,USA  , Kolkata,1,173,2020,May,1,2,8,10,2,0,Online TA,TA/TO,E,600,6000,Non Refundable,4,Transient,Canceled,6100,
Bed & Breakfast,100,USA  , Hyderabad,1,180,2023,August,0,3,9,12,2,0,Offline TA/TO,TA/TO,B,900,10800,Non Refundable,1,Transient,Canceled,10900,
Half Meal,150,Europe, Ahmedabad,1,73,2022,August,1,4,9,13,2,0,Online TA,TA/TO,C,800,10400,No Deposit ,4,Transient,Check-Out,10550,
Half Meal,150, China  , Pune,1,3,2022,May,0,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Advance,2,Transient,No-Show,1550,
Half Meal,150, Norway  , Kochi,1,77,2025,September,1,0,2,2,2,0,Online TA,TA/TO,C,800,1600,No Deposit ,1,Transient,Canceled,1750,
Full Meal,300, Nepal  , Hyderabad,1,51,2024,July,1,0,2,2,2,0,Direct,Direct,F,500,1000,No Deposit ,4,Transient,Canceled,1300,
Half Meal,150, Spain  , Hyderabad,1,81,2023,February,0,0,3,3,2,0,Online TA,TA/TO,A,1000,3000,Refundable,3,Transient,Check-Out,3150,
Half Meal,150, Portugal  , Bangalore,1,27,2021,March,1,0,3,3,2,0,Direct,Direct,E,600,1800,Advance,4,Transient,Check-Out,1950,
Full Meal,300, Spain  , Pune,1,165,2022,February,0,0,3,3,2,0,Online TA,TA/TO,A,1000,3000,Non Refundable,3,Transient,No-Show,3300,
No Meal,0,USA  , Bhopal,1,165,2020,December,0,0,3,3,2,0,Online TA,TA/TO,B,900,2700,Refundable,2,Transient,No-Show,2700,
Self Catering,200, Portugal  , Ahmedabad,1,165,2020,July,1,0,3,3,2,0,Online TA,TA/TO,E,600,1800,No Deposit ,2,Transient,Canceled,2000,
Full Meal,300, Spain  , Chennai,1,165,2022,September,0,0,3,3,2,0,Online TA,TA/TO,B,900,2700,No Deposit ,3,Transient,Check-Out,3000,
Half Meal,150,Europe, Indore,1,165,2020,February,1,0,3,3,2,0,Online TA,TA/TO,B,900,2700,Non Refundable,1,Transient,Check-Out,2850,
Half Meal,150,Europe, Ahmedabad,1,16,2023,August,1,0,3,3,2,0,Online TA,TA/TO,D,700,2100,Advance,2,Transient,No-Show,2250,
Self Catering,200,Europe, Pune,1,165,2021,June,1,0,3,3,2,0,Online TA,TA/TO,A,1000,3000,Advance,1,Transient,No-Show,3200,
Full Meal,300, Spain  , Jaipur,1,149,2024,November,0,1,3,4,2,2,Online TA,TA/TO,B,900,3600,Refundable,4,Transient,No-Show,3900,
Bed & Breakfast,100, Iran  , Kochi,1,165,2020,October,1,0,3,3,2,0,Online TA,TA/TO,D,700,2100,Refundable,4,Transient,Canceled,2200,
Full Meal,300, Portugal  , Pune,1,165,2021,February,1,0,3,3,3,0,Online TA,TA/TO,B,900,2700,Advance,3,Transient,Canceled,3000,
Half Meal,150, Norway  , Indore,1,165,2024,August,0,0,3,3,2,0,Online TA,TA/TO,C,800,2400,No Deposit ,1,Transient,Canceled,2550,
Half Meal,150, Spain  , Goa,1,29,2023,September,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,No Deposit ,1,Transient,Check-Out,5750,
Full Meal,300,Europe, Chennai,1,116,2021,June,1,2,5,7,2,1,Online TA,TA/TO,F,500,3500,Non Refundable,2,Transient,Check-Out,3800,
Bed & Breakfast,100, Italy  , Delhi,1,14,2022,August,1,2,5,7,2,1,Offline TA/TO,TA/TO,F,500,3500,No Deposit ,1,Transient,Check-Out,3600,
Full Meal,300,USA  , Kolkata,1,54,2023,August,1,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Non Refundable,4,Transient,Canceled,6600,
Self Catering,200, Italy  , Indore,1,86,2025,September,0,2,8,10,2,0,Online TA,TA/TO,A,1000,10000,No Deposit ,4,Transient,No-Show,10200,
Self Catering,200,Europe, Indore,1,80,2025,September,1,4,8,12,2,0,Online TA,TA/TO,E,600,7200,Non Refundable,1,Transient,Canceled,7400,
Half Meal,150, Portugal  , Chandigarh,0,360,2020,October,0,4,10,14,2,0,Offline TA/TO,TA/TO,D,700,9800,Refundable,4,Contract,No-Show,9950,
Full Meal,300, China  , Kochi,1,48,2024,January,0,0,2,2,2,0,Online TA,TA/TO,B,900,1800,Refundable,4,Transient,Check-Out,2100,
No Meal,0,USA  , Lucknow,1,159,2022,December,1,0,2,2,2,2,Online TA,TA/TO,E,600,1200,Non Refundable,1,Transient,Canceled,1200,
No Meal,0,Europe, Chandigarh,1,12,2020,June,1,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Refundable,4,Transient,No-Show,1400,
Self Catering,200, Norway  , Delhi,1,59,2020,July,1,1,2,3,3,1,Online TA,TA/TO,C,800,2400,No Deposit ,4,Transient,Check-Out,2600,
No Meal,0, Spain  , Delhi,0,328,2025,April,1,2,2,4,2,0,Offline TA/TO,TA/TO,C,800,3200,Non Refundable,3,Contract,Check-Out,3200,
Half Meal,150, Italy  , Hyderabad,1,70,2021,July,0,2,3,5,1,3,Direct,Direct,C,800,4000,Non Refundable,3,Transient,No-Show,4150,
Half Meal,150, Nepal  , Chandigarh,1,13,2024,March,0,2,3,5,2,0,Online TA,TA/TO,C,800,4000,Advance,4,Transient,Check-Out,4150,
Half Meal,150, China  , Chennai,1,174,2023,June,1,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Non Refundable,3,Transient,Check-Out,6450,
Half Meal,150, Iran  , Kolkata,1,104,2024,July,0,2,7,9,2,0,Online TA,TA/TO,F,500,4500,Advance,4,Transient,Canceled,4650,
